Team,2026 Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk
Ohio State,Big Ten,0-0,84.8,1,67.1,2,-17.7,1
Oregon,Big Ten,0-0,81.3,2,67.2,1,-13.9,2
Notre Dame,Indies (FBS),0-0,78.6,3,66.6,3,-11.8,9
Georgia,SEC,0-0,78.5,4,64.8,5,-13.1,5
Indiana,Big Ten,0-0,77.9,5,63.8,6,-13.5,4
Texas,SEC,0-0,74.9,6,63.4,8,-11.1,10
Miami-FL,ACC,0-0,74.1,7,61,12,-12.8,7
Texas Tech,Big 12,0-0,73.9,8,62.6,10,-11,11
Texas A&M,SEC,0-0,73,9,63.6,7,-9.7,15
LSU,SEC,0-0,72.5,10,58.6,22,-13.6,3
Oklahoma,SEC,0-0,70.9,11,58.2,26,-12.4,8
Alabama,SEC,0-0,69.7,12,57,33,-13.1,6
Tennessee,SEC,0-0,69.4,13,65.3,4,-3.6,46
Michigan,Big Ten,0-0,69.1,14,59.3,16,-10.3,13
Ole Miss,SEC,0-0,68.6,15,61.3,11,-6.6,27
Penn State,Big Ten,0-0,68.3,16,59.9,14,-7.7,25
Washington,Big Ten,0-0,67.9,17,59.1,18,-9.1,18
USC,Big Ten,Jan-00,67.7,18,63.1,9,-4.9,36
Missouri,SEC,0-0,67.5,19,58.4,25,-9.6,16
Florida,SEC,0-0,67.3,20,56.4,41,-10.3,12
BYU,Big 12,0-0,67,21,58.9,19,-7.8,24
Iowa,Big Ten,0-0,66.7,22,56.9,37,-9.3,17
Virginia,ACC,Jan-00,65.3,23,55.2,52,-9.8,14
Clemson,ACC,0-0,65.2,24,55.9,49,-9,19
South Carolina,SEC,0-0,64.7,25,56.2,43,-8,23
SMU,ACC,0-0,64.2,26,58.6,24,-6,29
Auburn,SEC,0-0,63.6,27,54.6,62,-8.7,20
Louisville,ACC,0-0,63.2,28,56.8,39,-6.2,28
Illinois,Big Ten,0-0,62.5,29,58.1,27,-3.9,40
Vanderbilt,SEC,0-0,61.9,30,59.4,15,-1.9,58
Utah,Big 12,0-0,61.9,31,57.9,30,-3.9,41
Arizona,Big 12,0-0,61.6,32,57.2,32,-4.9,35
Nebraska,Big Ten,0-0,61.4,33,56,45,-5.3,32
Kansas State,Big 12,0-0,61.3,34,58.6,23,-2.5,52
Virginia Tech,ACC,0-0,60.7,35,56.8,40,-4.2,37
North Carolina,ACC,Jan-00,60.2,36,51.8,77,-8,22
Florida State,ACC,Jan-00,60,37,55.3,51,-5,34
Houston,Big 12,0-0,59.5,38,57,34,-2.9,48
Oklahoma State,Big 12,0-0,59,39,55.9,47,-2.6,51
TCU,Big 12,0-1,58.6,40,54.9,58,-3.9,42
Minnesota,Big Ten,0-0,58.3,41,51.8,76,-7,26
Pittsburgh,ACC,0-0,58.3,42,56,44,-2.1,56
Georgia Tech,ACC,0-0,58,43,54.8,60,-2.7,50
Arkansas,SEC,0-0,57.7,44,60.4,13,2.9,94
Duke,ACC,0-0,57.7,45,58.8,20,1.5,83
UCLA,Big Ten,0-0,57.5,46,55.2,53,-2.3,54
Memphis,AAC,Jan-00,57.4,47,57.3,31,0.3,74
Kentucky,SEC,0-0,57.3,48,52.3,73,-5,33
Maryland,Big Ten,0-0,57.3,49,52.9,70,-4.1,39
Boise State,Pac-12,0-0,57.2,50,55.1,54,-2.4,53
Northwestern,Big Ten,0-0,57.2,51,51.3,81,-5.4,30
Arizona State,Big 12,0-0,57,52,53.5,69,-4.1,38
Mississippi State,SEC,0-0,56.9,53,56.8,38,0.4,75
North Dakota State,MWC,Jan-00,56.3,54,52.5,72,-3.8,44
Wisconsin,Big Ten,0-0,55.9,55,47.7,114,-8.6,21
Baylor,Big 12,0-0,55.9,56,57.9,28,2.7,93
Wake Forest,ACC,0-0,55.5,57,50.2,91,-5.3,31
Kansas,Big 12,0-0,55.4,58,54.8,59,0.1,69
Cincinnati,Big 12,0-0,55.1,59,54.9,56,0,68
California,ACC,0-0,55.1,60,54.9,57,-0.5,64
Stanford,ACC,Jan-00,55,61,51.7,78,-3.8,43
Rutgers,Big Ten,0-0,54.8,62,56.9,36,2.2,87
NC State,ACC,0-1,54.4,63,54.9,55,0.1,72
Michigan State,Big Ten,0-0,54.3,64,53.8,66,-0.9,61
Montana State,Big Sky,Jan-00,54.2,65,56.9,35,2.7,91
UCF,Big 12,0-0,53.8,66,50.2,94,-3.7,45
South Dakota State,MVFC,Jan-00,53.5,67,58.8,21,5.3,110
UNLV,MWC,0-1,53.3,68,55.9,48,2.7,92
Navy,AAC,0-0,53.3,69,53.8,65,0.8,79
San Diego State,Pac-12,0-0,52.8,70,50.2,95,-2,57
Colorado,Big 12,0-0,52.8,71,52.2,74,-1,60
New Mexico,MWC,0-0,52.1,72,51.7,79,0.1,70
Iowa State,Big 12,0-0,51.7,73,48.4,107,-2.8,49
James Madison,Sun Belt,0-0,51.2,74,52.7,71,1.1,81
UTSA,AAC,0-0,51,75,56,46,5.1,109
West Virginia,Big 12,0-0,50.8,76,51.3,82,0.6,77
Fresno State,Pac-12,0-0,50.7,77,47.1,121,-3.6,47
USF,AAC,0-0,50.4,78,54.1,64,3.5,96
Syracuse,ACC,0-0,50.2,79,49.4,99,-0.5,65
Texas State,Pac-12,0-0,50,80,59.2,17,9.3,139
Purdue,Big Ten,0-0,49.9,81,50.2,93,1,80
East Carolina,AAC,0-0,49.8,82,50.1,96,0.2,73
Army,AAC,0-0,49.7,83,50.8,86,1.2,82
Boston College,ACC,0-0,49.6,84,50.8,87,1.6,85
Air Force,MWC,0-0,48.9,85,50.9,85,2.1,86
Miami-OH,MAC,0-0,48.1,86,45.3,135,-2.3,55
Washington State,Pac-12,0-0,47.8,87,46.4,126,-1.5,59
Hawaii,MWC,0-1,47.8,88,51.6,80,4.4,101
Tulane,AAC,0-0,47.8,89,48.8,104,1.6,84
Liberty,CUSA,0-0,46.8,90,52.1,75,5.1,108
Oregon State,Pac-12,0-0,46.5,91,47.3,117,0.1,71
Western Michigan,MAC,0-0,46.1,92,45.7,132,-0.8,62
Florida Atlantic,AAC,0-0,46,93,53.7,67,8.3,126
Tulsa,AAC,0-0,46,94,50.3,89,4.8,106
Old Dominion,Sun Belt,0-0,45.2,95,45.6,133,-0.2,67
Western Kentucky,CUSA,0-0,44.8,96,50.2,90,6,115
Utah State,Pac-12,0-0,44.2,97,49.4,98,4.8,104
Troy,Sun Belt,0-0,44.1,98,48.5,106,4.7,103
Marshall,Sun Belt,0-0,43.9,99,53.6,68,10,144
Louisiana Tech,Sun Belt,0-0,43,100,48,113,5,107
Temple,AAC,0-0,43,101,51,84,8.3,127
Toledo,MAC,0-0,43,102,44,146,0.6,78
Rhode Island,CAA,Jan-00,42.7,103,44.9,139,2.2,88
South Dakota,MVFC,Jan-00,42.4,104,54.2,63,11.8,161
Jacksonville State,CUSA,0-1,42.4,105,49.1,102,6.2,117
Youngstown State,MVFC,Jan-00,41.8,106,54.6,61,12.8,174
Eastern Michigan,MAC,Jan-00,41.5,107,45.7,130,4.2,100
UL-Lafayette,Sun Belt,0-0,41.5,108,50.5,88,8.5,128
San Jose State,MWC,0-1,41.4,109,47.2,118,5.4,111
Georgia Southern,Sun Belt,0-0,41.3,110,48.8,105,7.5,120
Illinois State,MVFC,Jan-00,41.3,111,50.2,92,8.9,131
Wyoming,MWC,0-0,41.3,112,41.5,165,-0.4,66
North Texas,AAC,0-0,40.5,113,49.7,97,9,132
Arkansas State,Sun Belt,0-0,40.5,114,48.1,108,7.8,122
Colorado State,Pac-12,0-0,40.5,115,42.8,153,2.2,89
Nevada,MWC,0-0,40.4,116,43.7,149,3.7,97
Lehigh,Patriot,Jan-00,40.4,117,44,145,3.7,98
Ohio,MAC,0-0,40.3,118,40.2,187,-0.7,63
Connecticut,Indies (FBS),0-0,40.2,119,46,128,6.4,118
Montana,Big Sky,Jan-00,40.1,120,49.2,101,9.1,136
Tarleton State,UAC,Jan-00,39.9,121,56.4,42,16.5,215
Buffalo,MAC,0-0,39.4,122,41.3,168,2.5,90
Appalachian State,Sun Belt,0-0,39.4,123,46.9,122,7.8,123
Delaware,CUSA,0-0,39.2,124,48.9,103,9.3,138
Kennesaw State,CUSA,0-0,39.2,125,45.6,134,5.8,114
New Mexico State,CUSA,0-1,39,126,44.7,140,5.7,113
Tennessee Tech,Southern,Jan-00,38.3,127,42.1,160,3.7,99
North Dakota,MVFC,Jan-00,38.1,128,51.1,83,13,178
Florida International,CUSA,0-0,37.6,129,47.1,119,9.2,137
South Alabama,Sun Belt,0-0,37.5,130,48.1,110,9.9,142
Coastal Carolina,Sun Belt,0-0,37.4,131,46.6,124,8.7,130
Austin Peay,UAC,Jan-00,37.3,132,47.6,115,10.3,146
Bowling Green,MAC,0-0,37.1,133,39.9,188,3.2,95
Central Michigan,MAC,0-0,37,134,41.6,163,4.4,102
Stephen F. Austin,Southland,Jan-00,36.8,135,48.1,111,11.2,155
UC Davis,Big Sky,Jan-00,36.8,136,49.2,100,12.4,170
Rice,AAC,0-0,36.8,137,42.7,154,6.4,119
Yale,Ivy League,0-0,35.5,138,40.4,181,4.8,105
Idaho State,Big Sky,Jan-00,35,139,45.9,129,10.9,154
Northern Illinois,MWC,0-0,34.9,140,41.2,171,6.1,116
